i,x,Q,c,direction x,direction y,||direction||,alpha,"f(x,y)"
1,[  40 -100],"[[20  5]
 [ 5 16]]",[14 16],286,-1416,1444.5940606274137,0.01,77050.0
2,[ 37.14 -85.84],"[[20  5]
 [ 5 16]]",[14 16],286,-1416,1444.5940606274137,0.01,57664.832800000004
3,[ 34.144  -73.8026],"[[20  5]
 [ 5 16]]",[14 16],299.59999999999997,-1203.74,1240.463682499411,0.01,43345.96322207999
4,[ 31.14533  -63.541384],"[[20  5]
 [ 5 16]]",[14 16],299.86699999999996,-1026.1216,1069.0396417699205,0.01,32695.916310489047
5,[ 28.2333332  -54.77202906],"[[20  5]
 [ 5 16]]",[14 16],291.19967999999994,-876.9354940000001,924.0200832607085,0.01,24730.113442322785
6,[ 25.46526801 -47.26017107],"[[20  5]
 [ 5 16]]",[14 16],276.80651869999997,-751.18579896,800.5635223728265,0.01,18745.173278271566
7,[ 22.87522296 -40.8118071 ],"[[20  5]
 [ 5 16]]",[14 16],259.00450490799994,-644.8363970614,694.9081324446892,0.01,14232.426903752876
8,[ 20.48076873 -35.26567911],"[[20  5]
 [ 5 16]]",[14 16],239.44542377946993,-554.612798776976,604.0939227770466,0.01,10820.142876295651
9,[ 18.28789894 -30.48720889],"[[20  5]
 [ 5 16]]",[14 16],219.2869789624247,-477.84702216163333,525.7609302061227,0.01,8234.261504449029
10,[ 16.29467959 -26.36365041],"[[20  5]
 [ 5 16]]",[14 16],199.32193427802144,-412.3558475638932,458.0028149525597,0.01,6271.259046331138
11,[ 14.4939262  -22.80020033],"[[20  5]
 [ 5 16]]",[14 16],180.0753398006118,-356.34500866757134,399.2604328087086,0.01,4779.098180170271
12,[ 12.87515097 -19.71686459],"[[20  5]
 [ 5 16]]",[14 16],161.877522273868,-308.3335742707905,348.24405987773537,0.01,3643.662796886201
13,[ 11.42596401 -17.0459238 ],"[[20  5]
 [ 5 16]]",[14 16],144.91869653263393,-267.09407850115736,303.8760855597229,0.01,2778.975406302237
14,[ 10.1330674  -14.72987419],"[[20  5]
 [ 5 16]]",[14 16],129.28966115116503,-231.6049607676039,265.24832578688677,0.01,2120.0651022878
15,[  8.98294763 -12.71974769],"[[20  5]
 [ 5 16]]",[14 16],115.0119769593122,-201.01265010234553,231.58981053849791,0.01,1617.7198909392
